Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.11,0.11,0.33,0.22,33.33,0.33,60.0,0.11,0.22,5.62,2.2,1.76,54.55,0.33,Fatih Aksoy,fatih-aksoy,,Alanyaspor
0.11,0.11,1.4,0.75,7.69,0.75,41.18,0.11,0.86,5.5,4.96,0.32,49.0,1.72,Taxiarchis Fountas,taxiarchis-fountas,,Trabzonspor
0.11,0.02,0.46,0.14,23.08,0.74,67.74,0.28,2.26,7.17,3.5,0.78,63.35,0.57,Guilherme Haubert Sityá,guilherme-haubert-sitya,,Konyaspor
0.1,0.1,0.97,0.28,10.71,1.15,60.0,0.07,0.73,7.33,4.38,1.63,51.03,1.08,Cláudio Winck,claudio-winck,,Kasımpaşa
0.1,0.14,1.91,0.52,5.45,0.76,61.11,0.38,2.91,13.97,4.61,0.69,51.34,2.05,Haris Hajradinović,haris-hajradinovic,,Kasımpaşa
0.1,0.08,0.6,0.15,16.67,0.25,62.5,0.05,0.1,3.7,1.7,2.15,53.47,0.6,Attila Mocsi,attila-mocsi,,Çaykur Rizespor
0.1,0.07,1.42,0.34,6.9,2.2,50.56,0.2,0.83,6.11,7.34,0.59,49.54,3.03,Marlos Moreno,marlos-moreno,,Konyaspor
0.1,0.12,1.82,0.43,5.26,1.87,60.0,0.1,1.39,8.35,5.04,0.1,43.67,1.54,Olimpiu Moruțan,olimpiu-morutan,,MKE Ankaragücü
0.09,0.05,1.14,0.66,8.33,1.9,48.78,0.28,1.14,8.35,5.22,1.42,54.69,1.33,David Sambissa,david-sambissa,,İstanbulspor
0.09,0.12,1.61,0.57,5.88,1.61,68.0,0.28,1.8,6.62,3.97,1.14,54.0,1.89,Serdar Gürler,serdar-gurler,,Başakşehir FK
0.09,0.08,0.85,0.19,11.11,0.66,43.75,0.38,1.6,11.27,3.29,1.03,48.42,1.13,Mert Müldür,mert-muldur,,Fenerbahçe
0.09,0.13,0.84,0.28,11.11,0.47,71.43,0.0,0.56,7.12,3.65,1.12,53.68,0.94,Nazım Sangaré,nazim-sangare,,Fatih Karagümrük
0.09,0.14,1.29,0.74,7.14,1.93,47.73,0.37,2.11,7.26,4.96,0.28,51.82,1.47,Modou Barrow,modou-barrow,,Sivasspor
0.09,0.13,0.78,0.32,11.76,0.28,25.0,0.18,0.6,7.01,3.03,0.37,41.81,0.83,Yusuf Özdemir,yusuf-ozdemir,,Alanyaspor
0.09,0.12,1.33,0.23,6.9,1.6,71.43,0.05,1.1,11.52,7.91,0.73,58.88,2.61,Gedson Fernandes,gedson-fernandes,,Beşiktaş
